COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15125 
 NOMBRE    : TEXCOCO (DGE) 
 ESTADO    : MÉXICO 
 MUNICIPIO : TEXCOCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.50555556 ° 
 LONGITUD  : -98.88194444 ° 
 ALTITUD   : 2250 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	29.5	29	33.5	34	31	32	30	30.5	32	28	29	28		30.5	12
1983	29.5	29	32.5	35	38	34	30	28.5	28.5	30	28	28		30.9	12
1984	27	30	34	35	33	30.5	28	29	27	30	29	27		30	12
1985	28	28.5	32	33	33	30	29	28.5	29.5	29.5	31	28		30	12
1986	26	27	30	32.5	32	27	27	28.5	27.5	28.5	29	27		28.5	12
1987	27	27	31	30	29.5	27.5	27.5	26.5	27.5	27	26.5	26.5		27.8	12
1988	25	29	29.5	32.5	31.5	29	26	27	26.5	27	27.5	25		28	12
1989	25.5	27	27.5	29	32.5	31	28.5	26.5	26.5	25.5	29	25		27.8	12
1990	26.5	26	29.5	29.5	31.5	30	25	26	25	27.5	27.5	26		27.5	12
1991	27	30	32	31		31	25.5	26.5	26	27	26.5	26.5		28.1	11
1992	25		29.5	30										28.2	3
2001	22	24	27	29	27	26	24	25	23	23	22	22		24.5	12
2002	26													26	1
2004										28	27	27		27.3	3
2005	27	24	29	28.5	29.5	28	28.5	27.5	27.5	25	27	26		27.3	12
2006	26	28	30	30	30	27	26	25	25	26	25			27.1	11
2007	28	31	33	32	34	39	28	26	29	29	29	29		30.6	12
2008	28	29	30	30	30	27	26	26	27	27	26	26		27.7	12
2009	27	28	29	33	29	28	28	27	27	30	30	31		28.9	12
2010	30	29	32	31	32	31	26	26	27	31	28	28		29.2	12
2011	28	29	31	37	32	28	25	26	27	28	28	27		28.8	12
2012	26	27	30	30	30	29	24	24	27	29	27	27		27.5	12
2013	27	28	29	30	28	27	25	25	25	26	26	28		27	12
2014	26	29	29	30	28	27	25	26		26	26	25		27	11
2015	24	29	30	28	28	25	26	26	26		27	27		26.9	11
2016	25	27	29	30	30	24	25	25	26	28	27	26		26.8	12
2017	27	28	28	29	30	27	25	25	26	26	27	26		27	12
2018	24	28	29.5	28.5	31.5	29.5	27	24	24	26	28	24		27	12
2019	26	29	30.5	29.5	29.5	26.5	24	25.5	25.5	27.4	27	27		27.3	12
2020	27	29	30.5	28.5	28	27.4	25	24.4	25.5	28.4	27.4	25.5		27.2	12
2021	27.4	31	39	29.5	27.4	26.5	24	24	24	28	26	25		27.6	12
2022	24	26	28	29	30	28	25	24	24	26	26	26		26.3	12
2023	26	26	29	29	28	32	25	26	27	26	28	26		27.3	12
2024	26	30	31											29	3
MÍNIMA	22	24	27	28	27	24	24	24	23	23	22	22		24.5	1
MÁXIMA	30	31	39	37	38	39	30	30.5	32	37	31	31		30.9	12
MEDIA	26.6	28.2	30.6	31	30.8	29.1	26.5	26.4	26.6	27.9	27.3	26.5		28.1	10.9
DESV.ST	1.7	1.7	2.2	2.2	2.3	2.9	1.9	1.7	1.8	2.4	1.6	1.6		1.4	2.9

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978	0.5	3.3	3.3	5.9	7.4	9.8	8	7.9	7.9	6.1	3.4	1.7		5.4	12
1979	-0.1	2.5	3.5	6.3	7	7.9	8	7.8	7.1	2.2	1.3	1.7		4.6	12
1980	0.5	0.9	4.1	5.9	8.7	7.8	8	8.9	8.8	6	2.8	-0.3		5.2	12
1981	-1	1.9	4.4	6.8	8.9	10.5	8.7	8.6	8.1	7	-0.3	0.9		5.4	12
1982	0.4	1.3	4.1	6.9	9.1	7.6	7.7	7.1	7.4	6	2	0.7		5	12
1983	0.8	-0.9	1.9	6	9.4	9.1	9.4	8.6	8.8	5.2	3.9	0.8		5.2	12
